"Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Bonus","Name","Pos","WAR","G_bat","AB","HR","BA","OPS","G_pitch","W","L","ERA","WHIP","SV","Type","Drafted Out of"
"2005","3","","88","FrRnd","8","Devil Rays","N","","Bryan Morris (minors)","RHP","2.7","219","7","0",".143",".286","231","20","12","3.13","1.37","1","HS","Tullahoma HS (Tullahoma, TN)"
"2005","3","","89","FrRnd","9","Astros via Mets","Y","$289,000","*Tommy Manzella (minors)","SS","-1.4","90","263","1",".224",".528","","","","","","","4Yr","Tulane University (New Orleans, LA)"
"2005","3","","90","FrRnd","10","Tigers","Y","$422,000","Chris Robinson (minors)","C","0.0","8","12","1",".167",".583","","","","","","","4Yr","University of Illinois at Urbana-Champaign (Champaign, IL)"
"2005","3","","91","FrRnd","11","Pirates","Y","$420,000","James Boone (minors)","OF","","","","","","","","","","","","","4Yr","University of Missouri (Columbia, MO)"
"2005","3","","92","FrRnd","12","Reds","Y","$420,000","Zach Ward (minors)","RHP","","","","","","","","","","","","","4Yr","Gardner-Webb University (Boiling Springs, NC)"
"2005","3","","93","FrRnd","13","Orioles","Y","$415,000","Brandon Erbe (minors)","RHP","","","","","","","","","","","","","HS","McDonogh School (Owings Mill, MD)"
"2005","3","","94","FrRnd","14","Indians","Y","$435,000","Nick Weglarz (minors)","1B","","","","","","","","","","","","","",""
"2005","3","","95","FrRnd","15","White Sox","Y","$300,000","Ricky Brooks (minors)","RHP","","","","","","","","","","","","","4Yr","East Carolina University (Greenville, NC)"
"2005","3","","96","FrRnd","16","Marlins","Y","$340,000","Matthew Goyen (minors)","LHP","","","","","","","","","","","","","4Yr","Georgia College & State University (Milledgeville, GA)"
"2005","3","","97","FrRnd","17","Phillies","Y","$400,000","Matt Maloney (minors)","LHP","-0.2","22","19","0",".211",".461","31","5","9","5.74","1.47","0","4Yr","University of Mississippi (Oxford, MS)"
"2005","3","","98","FrRnd","18","Padres","Y","$395,000","Josh Geer (minors)","RHP","-0.7","22","33","0",".152",".404","24","3","8","5.28","1.37","0","4Yr","Rice University (Houston, TX)"
"2005","3","","99","FrRnd","19","Rangers","Y","$725,000","Taylor Teagarden (minors)","C","0.6","180","510","21",".202",".637","","","","","","","4Yr","University of Texas at Austin (Austin, TX)"
"2005","3","","100","FrRnd","20","Cubs","Y","$385,000","Mark Holliman (minors)","RHP","","","","","","","","","","","","","4Yr","University of Mississippi (Oxford, MS)"
